chr,category,startpos,endpos,sample_count,fragment_count,total_fragment_size_bp
4,2,36081878,37432416,3,3,1350538
4,3,86844835,133367655,3,3,46522820
4,3,138442525,178363378,3,3,39920853
4,3,138449683,190876256,3,3,52426573
4,3,183370056,189064952,3,3,5694896
4,3,183370056,190903938,3,3,7533882
4,2,190878463,190903938,3,3,25475
5,2,163205,904374,3,3,741169
5,5,5239921,6020418,3,3,780497
5,5,14673696,16667003,3,3,1993307
5,3,49695048,56526783,3,3,6831735
5,2,49698180,82940273,3,3,33242093
5,3,49698180,180660601,3,3,130962421
5,3,50045967,115837772,3,3,65791805
5,3,52084365,82940273,3,3,30855908
5,3,98194781,98236831,3,3,42050
5,3,167553880,180687212,3,3,13133332
5,2,178410562,178412716,3,3,2154
5,3,178413816,180687212,3,3,2273396
5,3,180477449,180687212,3,3,209763
6,3,203466,1101323,3,3,897857
6,6,311938,9922006,3,3,9610068
6,3,20115611,28474218,3,3,8358607
6,3,33561164,35427393,3,3,1866229
6,6,41204329,42185712,3,3,981383
6,3,49660418,52878654,3,3,3218236
6,3,51732807,57183174,3,3,5450367
6,3,57247022,62390916,3,3,5143894
6,3,57398335,170893364,3,3,113495029
6,3,65098712,170893364,3,3,105794652
6,8,79577644,83075914,3,3,3498270
7,2,11022230,22532336,3,3,11510106
7,3,66703328,78119199,3,3,11415871
7,2,66774604,158930775,3,3,92156171
7,8,92147584,92147584,3,3,0
7,3,102815846,102874211,3,3,58365
7,2,124387092,127347733,3,3,2960641
7,3,146997203,158851804,3,3,11854601
8,2,182794,40438757,3,3,40255963
8,3,182794,33369994,3,3,33187200
8,3,182794,33416222,3,3,33233428
8,3,182794,37756828,3,3,37574034
8,1,183002,3807667,3,3,3624665
8,3,250330,27094548,3,3,26844218
8,2,261290,31024654,3,3,30763364
8,2,261290,40666189,3,3,40404899
8,2,280241,31024638,3,3,30744397
8,2,328251,32453358,3,3,32125107
8,2,1830928,2054195,3,3,223267
8,3,40389823,43054553,3,3,2664730
8,3,47759712,107719521,3,3,59959809
8,3,81892766,99057526,3,3,17164760
8,3,133459549,146171437,3,3,12711888
8,3,139149406,146115367,3,3,6965961
8,3,142477490,142477752,3,3,262
9,2,154795,38595886,3,3,38441091
9,3,154795,17409366,3,3,17254571
9,3,154795,24545513,3,3,24390718
9,3,154795,27562352,3,3,27407557
9,3,154795,43861246,3,3,43706451
9,4,154795,32384843,3,3,32230048
9,4,154795,32498291,3,3,32343496
9,1,214706,712060,3,3,497354
9,2,325817,732730,3,3,406913
9,2,8504361,27562352,3,3,19057991
9,2,18657558,32498291,3,3,13840733
9,4,27455585,43861081,3,3,16405496
9,3,32408496,43861081,3,3,11452585
9,2,66457127,141071646,3,3,74614519
9,4,71714693,135930735,3,3,64216042
9,5,131553768,131745548,3,3,191780
10,2,95096,81192577,3,3,81097481
10,3,95096,23408139,3,3,23313043
10,2,282897,36813218,3,3,36530321
10,3,294953,36813198,3,3,36518245
10,1,26355906,26356066,3,3,160
10,1,124329580,124329746,3,3,166
10,2,134598628,135381927,3,3,783299
11,2,193863,6341365,3,3,6147502
11,3,1036454,19206426,3,3,18169972
11,2,5572966,5625847,3,3,52881
11,3,18631527,18771041,3,3,139514
11,3,18994005,19258746,3,3,264741
11,3,32623301,34460541,3,3,1837240
11,3,40137543,48286256,3,3,8148713
11,3,42259731,48328644,3,3,6068913
11,3,48346729,48388782,3,3,42053
11,2,48346961,48388782,3,3,41821
11,3,48346961,48388698,3,3,41737
11,4,48346961,48388717,3,3,41756
11,4,48346961,48388782,3,3,41821
11,4,48346961,48510654,3,3,163693
11,3,67564135,69588729,3,3,2024594
11,4,70281845,71734211,3,3,1452366
11,4,72788686,114401577,3,3,41612891
11,3,106697172,114401577,3,3,7704405
11,2,114421799,114422003,3,3,204
11,3,114441943,134257766,3,3,19815823
11,3,114452339,134856661,3,3,20404322
11,3,114568942,134251777,3,3,19682835
11,4,116628396,119584506,3,3,2956110
12,3,235022,6833590,3,3,6598568
12,3,235022,32974245,3,3,32739223
12,3,1863728,20803549,3,3,18939821
12,3,10959031,12879254,3,3,1920223
12,6,12967127,15822244,3,3,2855117
12,3,16369828,22213786,3,3,5843958
12,4,38715000,133810703,3,3,95095703
12,8,57979392,58217927,3,3,238535
12,3,99639930,133796033,3,3,34156103
12,2,133778684,133796033,3,3,17349
13,2,19600475,53602970,3,3,34002495
13,2,19600475,61989175,3,3,42388700
13,2,19600475,80911525,3,3,61311050
13,3,19600475,30091819,3,3,10491344
13,3,19600475,50656582,3,3,31056107
13,3,19601131,80911525,3,3,61310394
13,3,19751032,80910792,3,3,61159760
13,4,20000630,26625047,3,3,6624417
13,5,20207923,55748673,3,3,35540750
13,3,31725260,46541673,3,3,14816413
13,3,50590260,80095157,3,3,29504897
13,3,53254082,80911525,3,3,27657443
13,3,60240829,61988107,3,3,1747278
13,4,60240961,80910792,3,3,20669831
13,3,61058724,80911525,3,3,19852801
13,5,61068533,80911525,3,3,19842992
13,5,67800935,67802339,3,3,1404
13,1,86369120,87045827,3,3,676707
13,3,86369120,87045827,3,3,676707
13,3,86369120,108518444,3,3,22149324
13,3,86369120,115056935,3,3,28687815
13,5,86369120,107209378,3,3,20840258
13,4,87045827,115091809,3,3,28045982
13,3,87045914,115064542,3,3,28018628
13,3,93142312,115090996,3,3,21948684
13,3,95097956,115091399,3,3,19993443
13,5,108863591,111806245,3,3,2942654
14,3,47528551,107282791,3,3,59754240
14,3,67878717,70235741,3,3,2357024
14,2,100046280,100069742,3,3,23462
14,4,100046280,100069742,3,3,23462
14,3,106471353,107211211,3,3,739858
14,4,106816119,107282791,3,3,466672
15,5,20170150,94945719,3,3,74775569
16,4,4861709,31230463,3,3,26368754
16,3,28507644,30536918,3,3,2029274
16,3,33961702,34682019,3,3,720317
16,3,46508314,58757683,3,3,12249369
16,3,56855496,90142087,3,3,33286591
16,6,65015908,90141477,3,3,25125569
16,3,88810129,90142087,3,3,1331958
17,3,6115,17179481,3,3,17173366
17,3,6115,21147520,3,3,21141405
17,3,6115,21194658,3,3,21188543
17,5,6115,21199051,3,3,21192936
17,3,6188,21147520,3,3,21141332
17,3,20908325,20908325,3,3,0
17,2,21199499,21217566,3,3,18067
17,3,21318770,81051007,3,3,59732237
17,3,21730653,45000529,3,3,23269876
17,2,73110144,81083458,3,3,7973314
17,2,79384819,81051007,3,3,1666188
18,2,196829,77927028,3,3,77730199
18,3,252559,34465513,3,3,34212954
18,3,39573398,60646017,3,3,21072619
18,2,40503764,70209321,3,3,29705557
18,2,40613840,77927028,3,3,37313188
18,3,40613840,77927028,3,3,37313188
18,4,41559268,77927028,3,3,36367760
18,4,45691715,63489378,3,3,17797663
18,5,61022556,77927028,3,3,16904472
19,2,282753,6685230,3,3,6402477
19,2,282753,24117145,3,3,23834392
19,3,335946,1453705,3,3,1117759
19,3,1507483,3062857,3,3,1555374
19,3,6690571,6690805,3,3,234
19,8,21720803,21950337,3,3,229534
19,3,29567046,59082605,3,3,29515559
19,2,29567134,36168845,3,3,6601711
19,3,36168914,59082605,3,3,22913691
19,4,39066494,43690506,3,3,4624012
19,2,47193850,48512121,3,3,1318271
19,2,48806977,48977019,3,3,170042
19,2,49299533,50265549,3,3,966016
19,2,50760716,51262620,3,3,501904
19,2,55105666,55105803,3,3,137
19,4,55146036,55146139,3,3,103
19,5,55146036,55146139,3,3,103
20,3,76962,11791008,3,3,11714046
20,3,1908605,24524218,3,3,22615613
20,2,25462464,26094567,3,3,632103
20,4,29652147,48808011,3,3,19155864
21,3,9825874,48083526,3,3,38257652
21,2,9826301,48078611,3,3,38252310
21,3,9826301,15516976,3,3,5690675
21,3,9826301,48078611,3,3,38252310
21,3,47845936,48063476,3,3,217540
22,3,16157791,51183255,3,3,35025464
22,3,17054291,51183255,3,3,34128964
22,6,17055569,19172006,3,3,2116437
22,8,19184095,21842655,3,3,2658560
22,3,20724413,21119995,3,3,395582
22,3,25202560,32992821,3,3,7790261
22,8,30793137,31354653,3,3,561516
22,2,32554985,51183255,3,3,18628270
22,3,36116535,36691607,3,3,575072
22,3,44965320,51220734,3,3,6255414
23,2,2699968,22291860,3,3,19591892
23,2,2699968,53421666,3,3,50721698
23,6,2699968,25028301,3,3,22328333
23,6,2699968,34149267,3,3,31449299
23,8,2699968,32536126,3,3,29836158
23,2,2700157,10104606,3,3,7404449
23,3,2700157,57619648,3,3,54919491
23,4,2700157,57619648,3,3,54919491
23,4,2700202,32503194,3,3,29802992
23,5,2700202,57619648,3,3,54919446
23,8,2700202,32563488,3,3,29863286
23,7,2724760,57619648,3,3,54894888
23,6,11313027,32563488,3,3,21250461
23,5,23685964,24330386,3,3,644422
23,6,25028304,40506697,3,3,15478393
23,4,30715827,40506697,3,3,9790870
23,4,32503194,57619648,3,3,25116454
23,8,37883200,57619648,3,3,19736448
23,7,39933339,57619648,3,3,17686309
23,8,47057647,49087472,3,3,2029825
23,6,51076018,57619648,3,3,6543630
23,3,63410110,154507173,3,3,91097063
23,2,63412766,154774707,3,3,91361941
23,2,63557104,154774707,3,3,91217603
23,6,63557104,154774707,3,3,91217603
23,8,63557104,154774707,3,3,91217603
23,4,64744186,69844797,3,3,5100611
23,8,64771311,154774707,3,3,90003396
23,5,65382685,85906213,3,3,20523528
23,5,65382685,154774707,3,3,89392022
23,8,65382685,89177673,3,3,23794988
23,8,65382685,154507173,3,3,89124488
23,6,68381264,84363140,3,3,15981876
23,7,68381264,84363140,3,3,15981876
23,4,70823781,105153001,3,3,34329220
23,5,91759040,154774707,3,3,63015667
23,8,96139406,123540315,3,3,27400909
23,8,105153001,119421167,3,3,14268166
23,6,107328436,114426917,3,3,7098481
23,6,117677349,154507173,3,3,36829824
23,8,147003564,154774707,3,3,7771143
23,8,150348228,153049391,3,3,2701163
23,8,151997273,154507173,3,3,2509900
23,8,153049535,154774707,3,3,1725172
24,3,2710013,4968655,3,3,2258642
24,3,4968368,5491258,3,3,522890
24,8,4968368,5491261,3,3,522893
24,8,4968368,9384191,3,3,4415823
24,8,9384220,9384222,3,3,2
24,4,13309486,21894633,3,3,8585147
24,3,14460691,15591537,3,3,1130846
24,8,14460691,15591537,3,3,1130846
24,8,14851425,15027529,3,3,176104
24,3,14898094,15029495,3,3,131401
24,6,14969634,15029495,3,3,59861
24,3,15027529,15591537,3,3,564008
24,5,15027529,15027529,3,3,0
24,5,21154466,21893622,3,3,739156
24,6,21154466,21893622,3,3,739156
24,8,21154466,21906413,3,3,751947
1,3,721757,120925996,2,2,120204239
1,2,762061,11708736,2,2,10946675
1,2,762273,1479333,2,2,717060
1,2,762273,1871979,2,2,1109706
1,3,762273,1575863,2,2,813590
1,4,762273,50661411,2,2,49899138
1,3,2938265,120285546,2,2,117347281
1,5,2938265,120285546,2,2,117347281
1,3,10057240,10435324,2,2,378084
1,2,10459779,14149622,2,2,3689843
1,3,12785494,12921132,2,2,135638
1,1,17550225,18149566,2,2,599341
1,5,19583400,21671943,2,2,2088543
1,2,23810658,24018277,2,2,207619
1,2,24021224,24673866,2,2,652642
1,2,94009830,120478285,2,2,26468455
1,2,98165091,120926044,2,2,22760953
1,1,103356168,103380128,2,2,23960
1,2,110035159,121129695,2,2,11094536
1,2,111136611,118693217,2,2,7556606
1,3,111861974,113658887,2,2,1796913
1,3,116948551,120926044,2,2,3977493
1,3,119466275,120612234,2,2,1145959
1,2,144676632,145039562,2,2,362930
1,3,144860026,145104035,2,2,244009
1,3,145561594,187610852,2,2,42049258
1,3,179852074,187610852,2,2,7758778
1,2,224577595,225156655,2,2,579060
1,2,230845794,249141454,2,2,18295660
1,3,234452542,237551376,2,2,3098834
1,5,246027024,247006160,2,2,979136
1,2,247921717,248790167,2,2,868450
1,2,247921717,249110906,2,2,1189189
1,3,248604943,249110906,2,2,505963
1,2,248790199,249110906,2,2,320707
2,2,45895,262553,2,2,216658
2,2,45895,16734284,2,2,16688389
2,3,45895,40404839,2,2,40358944
2,4,45895,29447253,2,2,29401358
2,4,45895,42396722,2,2,42350827
2,4,45895,91925158,2,2,91879263
2,4,45895,91955303,2,2,91909408
2,4,11312181,74450058,2,2,63137877
2,3,16734284,88913273,2,2,72178989
2,3,17998025,88913273,2,2,70915248
2,4,77748595,114500473,2,2,36751878
2,4,77748595,114513787,2,2,36765192
2,2,86850022,88482258,2,2,1632236
2,1,89160889,90249273,2,2,1088384
2,2,95537501,242842568,2,2,147305067
2,3,95537544,96780716,2,2,1243172
2,5,95541381,142888376,2,2,47346995
2,3,100910578,101675808,2,2,765230
2,4,125192068,138237038,2,2,13044970
2,2,125405302,136467164,2,2,11061862
2,3,149449185,242813124,2,2,93363939
2,5,149449185,242813124,2,2,93363939
2,2,176844508,177033779,2,2,189271
2,3,206364737,212615516,2,2,6250779
2,4,206364737,212615516,2,2,6250779
2,4,206364791,212615516,2,2,6250725
2,3,217526553,242842568,2,2,25316015
2,2,238969964,239261866,2,2,291902
3,3,239347,4508742,2,2,4269395
3,3,239347,72799703,2,2,72560356
3,3,239347,93780109,2,2,93540762
3,3,239347,197581147,2,2,197341800
3,2,361508,3221430,2,2,2859922
3,3,361508,81698130,2,2,81336622
3,4,361508,52256697,2,2,51895189
3,3,367757,4345033,2,2,3977276
3,3,367757,90264768,2,2,89897011
3,6,386247,197717568,2,2,197331321
3,3,391100,58520306,2,2,58129206
3,3,391100,78796078,2,2,78404978
3,3,3081750,19959756,2,2,16878006
3,2,4403837,4856180,2,2,452343
3,3,4856650,81810516,2,2,76953866
3,3,7494417,62636826,2,2,55142409
3,3,36897812,81810516,2,2,44912704
3,4,62543123,81810516,2,2,19267393
3,3,66396845,81810516,2,2,15413671
3,3,69036707,81810516,2,2,12773809
3,3,72495945,81810516,2,2,9314571
3,4,72873809,73110076,2,2,236267
3,3,81630214,90276511,2,2,8646297
3,2,87100309,90264768,2,2,3164459
3,2,87100309,97611916,2,2,10511607
3,3,87100309,89456555,2,2,2356246
3,3,87100309,197765432,2,2,110665123
3,7,87100309,161221705,2,2,74121396
3,3,87100434,102189169,2,2,15088735
3,3,87100893,102189169,2,2,15088276
3,3,93593119,141644274,2,2,48051155
3,7,97198301,197566254,2,2,100367953
3,3,105438957,197677962,2,2,92239005
3,3,108724202,109049384,2,2,325182
3,2,109027157,120413158,2,2,11386001
3,3,110611137,119533910,2,2,8922773
3,1,111981849,112059768,2,2,77919
3,3,118621664,197665599,2,2,79043935
3,2,126169048,131756375,2,2,5587327
3,3,131624097,137982718,2,2,6358621
3,8,135720540,138251302,2,2,2530762
3,8,138668636,153970796,2,2,15302160
3,3,145788467,148459395,2,2,2670928
3,4,148562310,158991724,2,2,10429414
3,5,154802920,164714532,2,2,9911612
3,6,154802920,164714532,2,2,9911612
3,6,167351418,170078232,2,2,2726814
3,7,168546914,197483279,2,2,28936365
3,8,170105233,174581888,2,2,4476655
3,8,171338237,172536450,2,2,1198213
3,8,172643221,186287777,2,2,13644556
3,7,175473047,179322385,2,2,3849338
3,3,178546026,197726062,2,2,19180036
